9.000000000000000000e+00 1.454969999999999959e-39
1.100000000000000000e+01 4.117599999999999861e-40
1.300000000000000000e+01 1.596659999999999932e-40
1.600000000000000000e+01 6.382310000000000493e-41
1.700000000000000000e+01 5.358889999999999987e-41
1.900000000000000000e+01 4.224000000000000200e-41
2.100000000000000000e+01 3.783069999999999873e-41
2.300000000000000000e+01 3.482169999999999784e-41
2.600000000000000000e+01 3.091000000000000025e-41
2.900000000000000000e+01 3.426420000000000207e-41
3.000000000000000000e+01 3.535840000000000046e-41
3.200000000000000000e+01 3.930900000000000093e-41
3.600000000000000000e+01 4.713400000000000460e-41
4.000000000000000000e+01 5.694240000000000466e-41
4.300000000000000000e+01 6.296979999999999707e-41
4.600000000000000000e+01 6.898110000000000184e-41
5.500000000000000000e+01 8.590099999999999995e-41
6.500000000000000000e+01 1.042399999999999970e-40
7.800000000000000000e+01 1.243820000000000078e-40
9.100000000000000000e+01 1.468120000000000000e-40
1.100000000000000000e+02 1.766730000000000034e-40
1.290000000000000000e+02 2.042650000000000162e-40
1.550000000000000000e+02 2.421459999999999847e-40
1.820000000000000000e+02 2.824189999999999817e-40
2.190000000000000000e+02 3.376959999999999893e-40
2.560000000000000000e+02 3.964309999999999602e-40
3.080000000000000000e+02 4.697889999999999603e-40
3.610000000000000000e+02 5.483649999999999877e-40
4.340000000000000000e+02 6.618840000000000123e-40
5.080000000000000000e+02 7.672359999999999321e-40
6.120000000000000000e+02 9.207269999999999994e-40
7.160000000000000000e+02 1.076859999999999950e-39
8.620000000000000000e+02 1.287690000000000050e-39
1.008000000000000000e+03 1.507259999999999908e-39
1.214000000000000000e+03 1.802640000000000071e-39
1.420000000000000000e+03 2.114469999999999991e-39
1.710000000000000000e+03 2.543739999999999919e-39
2.000000000000000000e+03 2.964529999999999676e-39
5.000000000000000000e+03 7.427089999999999686e-39
1.000000000000000000e+04 1.500139999999999927e-38
